#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857517116960,85,391.8638,466.7796,880.235,-449.6077,735.1609,-306.5892,993939333
857517116961,85,391.4377,466.9725,879.2627,-791.9955,70.5726,-1053.7449,993939390
857517116962,85,391.209,466.959,879.9977,-746.8383,878.6204,-728.0692,993939385
857517116965,85,391.8176,466.8962,880.1837,-267.3969,352.9426,-563.2264,993939386
857517116966,85,391.4203,467.0659,879.7551,-622.4172,305.0269,-845.9267,993939390
857517116967,85,391.8737,466.8376,880.174,-500.8793,692.5172,-341.66,993939386
857517116969,85,391.5062,466.6344,879.0737,-1194.4019,682.1539,-1013.9405,993939329
857517116974,85,391.2561,466.8282,878.982,-911.1023,569.6431,-1251.1821,993939390
857517116975,85,391.1147,466.699,879.7209,-794.1805,59.6821,-814.8646,993939329
857517116976,85,391.5485,466.8139,879.9767,-497.4841,387.4453,-404.3792,993939385
857517116977,85,391.175,466.9525,880.5013,-811.7752,209.698,-434.0771,993939385
857517116982,85,391.1594,466.9413,878.4424,-2203.297,563.808,-1405.7362,993939395
857517116983,85,391.308,466.8219,879.759,-507.2935,538.1917,-725.5806,993939390
857517116984,85,391.468,466.9979,880.2216,-902.2256,561.1224,-645.3464,993939385
857517116985,85,391.784,467.0067,879.9669,-365.3615,514.1941,-280.4775,993939386
857517116990,85,391.0682,466.9677,878.3947,-1605.9805,38.716,-1967.1962,993939395
857517116991,85,391.3538,466.7876,879.9185,-794.4573,537.7599,-354.3785,993939334
857517116992,85,391.0834,466.9245,879.6799,-671.2566,547.3091,-744.7098,993939390
857517116995,85,391.6681,466.8524,880.0582,-182.6852,503.4667,-402.9409,993939386
857517116998,85,390.9689,466.9772,879.7975,-880.5764,397.3185,-682.7183,993939390
857517116999,85,391.1642,467.118,879.1266,-1330.6965,673.925,-1074.3661,993939390
857517117000,85,391.4469,466.8498,880.0087,-663.2486,458.4925,-374.8987,993939385
